PJ-ID,EXP-ID,"Cat1.actual, mg","Cat2.actual, mg","Cat3.actual, mg","Cat4.actual, mg","Cat5.actual, mg","Ion1.actual, ƒÊL","Ion2.actual, ƒÊL","cOct1.actual, ƒÊL","CO2, MPa","H2, MPa",Ald_Yield
Round-005,4021,1.9,0,8.3,2.3,6.2,300.99,0,583.4,5,3,7.622426966
Round-005,6956,0,0,0,0,31.1,251.32,0,583.4,5,3,0.667166112
Round-005,6802,0,0,0,9.3,0,300.99,0,583.4,5,3,2.242564092
Round-005,6747,0,0,0,16.4,0,0,175.03,583.4,5,3,0.617799659
Round-005,110,11.5,0,0,0,0,52.56,0,583.4,5,3,1.79757812
Round-005,2465,3.8,0,0,6.9,43.4,0,60.24,583.4,5,3,1.083407112
Round-005,1385,5.9,0,0,0,0,0,404.62,583.4,5,3,0.387898022
Round-005,126,11.5,0,0,0,18.7,52.56,0,583.4,5,3,1.106727822
Round-005,6366,0,0,16.5,16.4,0,52.56,0,583.4,5,3,0.331762346
Round-005,6864,0,0,0,4.6,12.2,300.99,0,583.4,5,3,0.763351033
Round-005,311,9.5,0,0,2.3,0,201.66,0,583.4,5,3,1.999247953
Round-005,6748,0,0,0,13.9,18.6,52.56,0,583.4,5,3,1.199137962
Round-006,6001,0,2.3,0,2.3,6.2,350.65,0,583.4,5,3,12.34726332
Round-006,6045,0,2.2,0,0,12.5,350.65,0,583.4,5,3,10.08764693
Round-006,3459,2,2.3,8.3,0,6.1,300.99,0,583.4,5,3,9.368799921
Round-006,5803,0,2.4,8.3,2.3,6.1,300.99,0,583.4,5,3,11.56427011
Round-006,3614,2,2.3,0,0,6.1,300.99,60.24,583.4,5,3,7.497340347
Round-006,6054,0,2.2,0,0,6.1,350.65,60.24,583.4,5,3,8.391424958
Round-006,5838,0,2.3,8.3,0,12.5,300.99,0,583.4,5,3,11.26604383
Round-006,5810,0,2.3,8.3,2.3,0,350.65,0,583.4,5,3,10.30187627
Round-006,5994,0,2.3,0,2.2,12.3,300.99,0,583.4,5,3,11.89865827
Round-006,4264,1.9,0,0,0,12.3,300.99,60.24,583.4,5,3,8.942757316
Round-006,3432,1.9,2.4,8.4,2.3,0,300.99,0,583.4,5,3,8.625104088
Round-006,5388,0,4.5,0,0,12.4,300.99,0,583.4,5,3,7.754121649
Round-006,6002,0,2.4,0,2.3,6.2,300.99,60.24,583.4,5,3,9.637882867
Round-006,4961,0,6.9,0,0,0,0,404.62,583.4,5,3,0.955722935
Round-006,6843,0,0,0,6.9,0,0,404.62,583.4,5,3,0.94771179
Round-006,337,7.6,11.5,0,0,0,0,60.24,583.4,5,3,0.514339976
Round-006,6228,0,0,33.1,0,31.3,0,60.24,583.4,5,3,0.334255274
Round-006,1571,3.7,6.9,0,0,6.1,201.66,0,583.4,5,3,1.783484571
Round-006,1142,5.8,0,24.8,0,0,201.66,0,583.4,5,3,5.560939523
Round-006,1360,5.8,0,0,0,18.7,201.66,0,583.4,5,3,6.947014776
Round-006,232,9.7,0,33,0,0,0,60.24,583.4,5,3,0.392596561
